Place_Id,Place_Name,Description,Category,Sub_Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Province,Category_Clean,c1_ticket_price,c2_rating,facility_toilet_mentioned,facility_parking_mentioned,facility_food_mentioned,facility_worship_mentioned,facility_accessibility_mentioned,facility_information_center_mentioned,c4_facility_score,activity_tags
11,Pantai Kuala Merisi,"Pantai Kuala Merisi di Kota Lhokseumawe, Aceh. Kawasan pantai dengan keindahan garis pantai memanjang, batuan karang yang menawan, serta angin sepoi-sepoi yang menyegarkan. Sangat cocok untuk aktivitas rekreasi, jalan santai di tepi air, dan piknik sore hari.",Pantai,Pantai,Kota Lhokseumawe,25000,4.7,150.0,"{'lat': 5.172093, 'lng': 97.105295}",5.172093,97.105295,Aceh,bahari,25000.0,4.7,1,1,1,1,0,1,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
12,Pantai Gapang Sabang,"Pantai Gapang Sabang di Kota Sabang, Aceh. Kawasan pantai dengan keindahan garis pantai memanjang, batuan karang yang menawan, serta angin sepoi-sepoi yang menyegarkan. Sangat cocok untuk aktivitas rekreasi, jalan santai di tepi air, dan piknik sore hari.",Pantai,Pantai,Kota Sabang,10000,4.5,180.0,"{'lat': 5.904728, 'lng': 95.28813}",5.904728,95.28813,Aceh,bahari,10000.0,4.5,1,1,1,1,0,1,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
13,Pantai Alue Naga,"Pantai Alue Naga di Aceh Singkil, Aceh. Destinasi wisata pesisir dengan hamparan pasir bersih, deburan ombak yang menenangkan, serta panorama matahari terbenam yang memukau. Dilengkapi fasilitas warung makan seafood lokal, area parkir, toilet umum, dan persewaan payung pantai.",Pantai,Pantai,Aceh Singkil,10000,4.9,120.0,"{'lat': 2.325252, 'lng': 97.777546}",2.325252,97.777546,Aceh,bahari,10000.0,4.9,1,1,1,1,1,0,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
14,Pantai Lange,"Pantai Lange di Aceh Selatan, Aceh. Pantai eksotis dengan air laut jernih dan deretan pohon kelapa yang rindang. Menjadi lokasi favorit wisatawan untuk bersantai, bermain air bersama keluarga, berswafoto, serta menikmati kelapa muda segar di tepi pantai.",Pantai,Pantai,Aceh Selatan,25000,4.3,240.0,"{'lat': 3.222799, 'lng': 97.264438}",3.222799,97.264438,Aceh,bahari,25000.0,4.3,1,1,1,1,0,0,0.6667,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
15,Gunung Burni Telong,"Gunung Burni Telong di Kota Lhokseumawe, Aceh. Kawasan dataran tinggi dan lereng gunung yang asri dengan pemandangan perbukitan hijau dan kawah eksotis. Sangat ideal untuk petualangan alam terbuka, hiking santai, perkemahan keluarga, dan melepas penat.",Gunung,Gunung,Kota Lhokseumawe,10000,4.3,300.0,"{'lat': 5.160113, 'lng': 97.144258}",5.160113,97.144258,Aceh,alam,10000.0,4.3,1,1,1,0,0,0,0.5,camping|fotografi|gunung|hiking
16,Gunung Leuser (TNGL),"Gunung Leuser (TNGL) di Kota Sabang, Aceh. Kawasan dataran tinggi dan lereng gunung yang asri dengan pemandangan perbukitan hijau dan kawah eksotis. Sangat ideal untuk petualangan alam terbuka, hiking santai, perkemahan keluarga, dan melepas penat.",Gunung,Gunung,Kota Sabang,50000,4.6,240.0,"{'lat': 5.85356, 'lng': 95.334467}",5.85356,95.334467,Aceh,alam,50000.0,4.6,1,1,1,1,1,0,0.8333,camping|fotografi|gunung|hiking
17,Gunung Seulawah Agam,"Gunung Seulawah Agam di Aceh Besar, Aceh. Kawasan dataran tinggi dan lereng gunung yang asri dengan pemandangan perbukitan hijau dan kawah eksotis. Sangat ideal untuk petualangan alam terbuka, hiking santai, perkemahan keluarga, dan melepas penat.",Gunung,Gunung,Aceh Besar,15000,4.7,240.0,"{'lat': 5.394416, 'lng': 95.525418}",5.394416,95.525418,Aceh,alam,15000.0,4.7,1,1,1,1,1,1,1.0,camping|fotografi|gunung|hiking
18,Gunung Seulawah Inong,"Gunung Seulawah Inong di Aceh Barat, Aceh. Destinasi wisata pegunungan berhawa sejuk dengan jalur pendakian yang menantang dan panorama lautan awan yang spektakuler saat fajar. Tersedia pos peristirahatan, warung logistik pendaki, area perkemahan, dan pemandu lokal.",Gunung,Gunung,Aceh Barat,10000,4.7,300.0,"{'lat': 4.457916, 'lng': 96.165788}",4.457916,96.165788,Aceh,alam,10000.0,4.7,1,1,1,0,1,1,0.8333,camping|fotografi|gunung|hiking
19,Gunung Geureudong,"Gunung Geureudong di Kota Sabang, Aceh. Kawasan dataran tinggi dan lereng gunung yang asri dengan pemandangan perbukitan hijau dan kawah eksotis. Sangat ideal untuk petualangan alam terbuka, hiking santai, perkemahan keluarga, dan melepas penat.",Gunung,Gunung,Kota Sabang,10000,4.4,240.0,"{'lat': 5.860152, 'lng': 95.315579}",5.860152,95.315579,Aceh,alam,10000.0,4.4,1,1,1,1,0,0,0.6667,camping|fotografi|gunung|hiking
20,Gunung Abong-Abong,"Gunung Abong-Abong di Aceh Tengah, Aceh. Puncak bukit dan pegunungan dengan pemandangan lanskap hijau membentang sejauh mata memandang. Menawarkan pengalaman menikmati golden sunrise, udara bersih bebas polusi, dan spot foto alam yang memesona.",Gunung,Gunung,Aceh Tengah,15000,4.5,300.0,"{'lat': 4.658095, 'lng': 96.839151}",4.658095,96.839151,Aceh,alam,15000.0,4.5,1,1,1,1,1,0,0.8333,camping|fotografi|gunung|hiking
21,Gunung Peuet Sago,"Gunung Peuet Sago di Aceh Tengah, Aceh. Destinasi wisata pegunungan berhawa sejuk dengan jalur pendakian yang menantang dan panorama lautan awan yang spektakuler saat fajar. Tersedia pos peristirahatan, warung logistik pendaki, area perkemahan, dan pemandu lokal.",Gunung,Gunung,Aceh Tengah,15000,4.3,300.0,"{'lat': 4.629706, 'lng': 96.81498}",4.629706,96.81498,Aceh,alam,15000.0,4.3,1,1,1,1,0,0,0.6667,camping|fotografi|gunung|hiking
22,Puncak Burni Kelieten,"Puncak Burni Kelieten di Aceh Singkil, Aceh. Puncak bukit dan pegunungan dengan pemandangan lanskap hijau membentang sejauh mata memandang. Menawarkan pengalaman menikmati golden sunrise, udara bersih bebas polusi, dan spot foto alam yang memesona.",Gunung,Perbukitan,Aceh Singkil,15000,4.3,180.0,"{'lat': 2.298979, 'lng': 97.810488}",2.298979,97.810488,Aceh,alam,15000.0,4.3,1,1,1,0,0,1,0.6667,camping|fotografi|gunung|hiking
23,Puncak Pantan Terong Takengon,"Puncak Pantan Terong Takengon di Aceh Jaya, Aceh. Puncak bukit dan pegunungan dengan pemandangan lanskap hijau membentang sejauh mata memandang. Menawarkan pengalaman menikmati golden sunrise, udara bersih bebas polusi, dan spot foto alam yang memesona.",Gunung,Perbukitan,Aceh Jaya,35000,4.9,240.0,"{'lat': 4.760439, 'lng': 95.603885}",4.760439,95.603885,Aceh,alam,35000.0,4.9,1,1,1,1,0,0,0.6667,camping|fotografi|gunung|hiking
24,Bukit Cot Panglima,"Bukit Cot Panglima di Aceh Jaya, Aceh. Destinasi wisata pegunungan berhawa sejuk dengan jalur pendakian yang menantang dan panorama lautan awan yang spektakuler saat fajar. Tersedia pos peristirahatan, warung logistik pendaki, area perkemahan, dan pemandu lokal.",Gunung,Perbukitan,Aceh Jaya,25000,4.2,180.0,"{'lat': 4.777784, 'lng': 95.627186}",4.777784,95.627186,Aceh,alam,25000.0,4.2,1,1,1,1,0,1,0.8333,camping|fotografi|gunung|hiking
25,Danau Laut Tawar,"Danau Laut Tawar di Bener Meriah, Aceh. Kawasan konservasi alam yang asri dan terlindungi dengan keanekaragaman flora dan fauna tropis endemik. Dilengkapi jalur trekking kayu yang tertata rapi, gazebo istirahat, pusat informasi lingkungan, dan toilet pengunjung.",Cagar Alam,Danau,Bener Meriah,25000,4.4,180.0,"{'lat': 4.713193, 'lng': 96.841917}",4.713193,96.841917,Aceh,alam,25000.0,4.4,1,1,1,0,0,1,0.6667,alam|edukasi|fotografi|hiking|rekreasi_keluarga
26,Air Terjun Suhom,"Air Terjun Suhom di Aceh Jaya, Aceh. Objek wisata alam dengan formasi tebing batuan alami, gua karst purba, serta telaga yang jernih dan tenang. Suasana alam yang tenang memberikan kesegaran pikiran bagi pengunjung yang mencintai ketenangan alam.",Cagar Alam,Air Terjun,Aceh Jaya,30000,4.3,90.0,"{'lat': 4.817161, 'lng': 95.62875}",4.817161,95.62875,Aceh,alam,30000.0,4.3,1,1,1,1,1,1,1.0,alam|edukasi|fotografi|hiking|rekreasi_keluarga
27,Air Terjun Blang Kolam,"Air Terjun Blang Kolam di Aceh Barat, Aceh. Wisata alam edukatif berbalut udara segar hutan tropis, aliran sungai yang jernih, serta air terjun bertingkat yang menyejukkan. Pilihan utama untuk riset keanekaragaman hayati dan ekowisata ramah lingkungan.",Cagar Alam,Air Terjun,Aceh Barat,15000,4.4,180.0,"{'lat': 4.48752, 'lng': 96.200809}",4.48752,96.200809,Aceh,alam,15000.0,4.4,1,1,1,1,1,1,1.0,alam|edukasi|fotografi|hiking|rekreasi_keluarga
28,Air Terjun Tansaran Bidin,"Air Terjun Tansaran Bidin di Aceh Singkil, Aceh. Wisata alam edukatif berbalut udara segar hutan tropis, aliran sungai yang jernih, serta air terjun bertingkat yang menyejukkan. Pilihan utama untuk riset keanekaragaman hayati dan ekowisata ramah lingkungan.",Cagar Alam,Air Terjun,Aceh Singkil,10000,4.8,150.0,"{'lat': 2.365495, 'lng': 97.773171}",2.365495,97.773171,Aceh,alam,10000.0,4.8,1,1,1,0,1,1,0.8333,alam|edukasi|fotografi|hiking|rekreasi_keluarga
29,Gua Sarang Pulau Weh,"Gua Sarang Pulau Weh di Aceh Barat, Aceh. Wisata alam edukatif berbalut udara segar hutan tropis, aliran sungai yang jernih, serta air terjun bertingkat yang menyejukkan. Pilihan utama untuk riset keanekaragaman hayati dan ekowisata ramah lingkungan.",Cagar Alam,Gua,Aceh Barat,25000,4.4,120.0,"{'lat': 4.46844, 'lng': 96.189369}",4.46844,96.189369,Aceh,alam,25000.0,4.4,1,1,1,0,0,1,0.6667,edukasi|fotografi|hiking|rekreasi_keluarga
30,Pemandian Air Panas Ie Suum,"Pemandian Air Panas Ie Suum di Aceh Besar, Aceh. Objek wisata alam dengan formasi tebing batuan alami, gua karst purba, serta telaga yang jernih dan tenang. Suasana alam yang tenang memberikan kesegaran pikiran bagi pengunjung yang mencintai ketenangan alam.",Cagar Alam,Taman Nasional,Aceh Besar,20000,4.2,90.0,"{'lat': 5.402159, 'lng': 95.481577}",5.402159,95.481577,Aceh,alam,20000.0,4.2,1,1,1,1,1,1,1.0,edukasi|fotografi|hiking|rekreasi_keluarga
31,Taman Hutan Raya Pocut Meurah Intan,"Taman Hutan Raya Pocut Meurah Intan di Kota Sabang, Aceh. Kawasan konservasi alam yang asri dan terlindungi dengan keanekaragaman flora dan fauna tropis endemik. Dilengkapi jalur trekking kayu yang tertata rapi, gazebo istirahat, pusat informasi lingkungan, dan toilet pengunjung.",Cagar Alam,Taman Nasional,Kota Sabang,30000,4.3,120.0,"{'lat': 5.89579, 'lng': 95.28125}",5.89579,95.28125,Aceh,alam,30000.0,4.3,1,1,1,1,1,1,1.0,edukasi|fotografi|hiking|rekreasi_keluarga
32,Ekowisata Hutan Mangrove Langsa,"Ekowisata Hutan Mangrove Langsa di Aceh Singkil, Aceh. Objek wisata alam dengan formasi tebing batuan alami, gua karst purba, serta telaga yang jernih dan tenang. Suasana alam yang tenang memberikan kesegaran pikiran bagi pengunjung yang mencintai ketenangan alam.",Cagar Alam,Taman Nasional,Aceh Singkil,30000,4.5,90.0,"{'lat': 2.312116, 'lng': 97.769591}",2.312116,97.769591,Aceh,alam,30000.0,4.5,1,1,1,0,1,1,0.8333,edukasi|fotografi|hiking|rekreasi_keluarga
33,Museum Tsunami Aceh,"Museum Tsunami Aceh di Kota Lhokseumawe, Aceh. Kompleks bangunan bersejarah dan desa adat yang mempertahankan adat istiadat turun-temurun dengan ramah. Wisatawan dapat menyaksikan kerajinan tangan tradisional dan berinteraksi langsung dengan warga setempat.",Budaya,Museum,Kota Lhokseumawe,15000,4.5,120.0,"{'lat': 5.185218, 'lng': 97.12531}",5.185218,97.12531,Aceh,budaya,15000.0,4.5,1,1,1,0,0,1,0.6667,budaya|edukasi|fotografi|sejarah
34,Tugu Nol Kilometer Indonesia,"Tugu Nol Kilometer Indonesia di Kota Lhokseumawe, Aceh. Kompleks bangunan bersejarah dan desa adat yang mempertahankan adat istiadat turun-temurun dengan ramah. Wisatawan dapat menyaksikan kerajinan tangan tradisional dan berinteraksi langsung dengan warga setempat.",Budaya,Situs Sejarah,Kota Lhokseumawe,5000,4.2,90.0,"{'lat': 5.19164, 'lng': 97.136578}",5.19164,97.136578,Aceh,budaya,5000.0,4.2,1,1,1,1,0,1,0.8333,budaya|edukasi|fotografi|sejarah
35,Rumah Cut Nyak Dhien,"Rumah Cut Nyak Dhien di Aceh Besar, Aceh. Destinasi wisata sejarah dan kearifan lokal yang memperlihatkan warisan peradaban masa lampau melalui koleksi artefak berharga. Tempat ideal untuk belajar mengenai perjuangan bangsa dan filosofi adat masyarakat.",Budaya,Situs Sejarah,Aceh Besar,15000,4.3,60.0,"{'lat': 5.360352, 'lng': 95.497916}",5.360352,95.497916,Aceh,budaya,15000.0,4.3,1,1,0,1,0,1,0.6667,budaya|edukasi|fotografi|sejarah
36,Taman Sari Gunongan,"Taman Sari Gunongan di Aceh Besar, Aceh. Kompleks bangunan bersejarah dan desa adat yang mempertahankan adat istiadat turun-temurun dengan ramah. Wisatawan dapat menyaksikan kerajinan tangan tradisional dan berinteraksi langsung dengan warga setempat.",Budaya,Situs Sejarah,Aceh Besar,25000,4.2,120.0,"{'lat': 5.367501, 'lng': 95.555408}",5.367501,95.555408,Aceh,budaya,25000.0,4.2,1,1,0,1,1,1,0.8333,budaya|edukasi|fotografi|sejarah
37,Benteng Anoi Itam,"Benteng Anoi Itam di Kota Sabang, Aceh. Destinasi wisata sejarah dan kearifan lokal yang memperlihatkan warisan peradaban masa lampau melalui koleksi artefak berharga. Tempat ideal untuk belajar mengenai perjuangan bangsa dan filosofi adat masyarakat.",Budaya,Benteng,Kota Sabang,5000,4.4,90.0,"{'lat': 5.864043, 'lng': 95.285934}",5.864043,95.285934,Aceh,budaya,5000.0,4.4,1,1,1,1,0,1,0.8333,budaya|edukasi|fotografi|sejarah
38,Museum Aceh,"Museum Aceh di Bener Meriah, Aceh. Situs cagar budaya bersejarah yang sarat dengan nilai tradisi leluhur, arsitektur arca dan bangunan tradisional yang otentik. Dilengkapi pemandu wisata budaya, museum informasi sejarah, dan pertunjukan seni berkala.",Budaya,Museum,Bener Meriah,20000,4.6,60.0,"{'lat': 4.744039, 'lng': 96.847819}",4.744039,96.847819,Aceh,budaya,20000.0,4.6,1,1,1,1,0,1,0.8333,budaya|edukasi|fotografi|sejarah
39,Makam Sultan Iskandar Muda,"Makam Sultan Iskandar Muda di Aceh Besar, Aceh. Destinasi wisata sejarah dan kearifan lokal yang memperlihatkan warisan peradaban masa lampau melalui koleksi artefak berharga. Tempat ideal untuk belajar mengenai perjuangan bangsa dan filosofi adat masyarakat.",Budaya,Situs Sejarah,Aceh Besar,15000,4.4,120.0,"{'lat': 5.369985, 'lng': 95.487166}",5.369985,95.487166,Aceh,budaya,15000.0,4.4,1,1,1,1,0,1,0.8333,budaya|edukasi|fotografi|sejarah
40,Taman Ratu Safiatuddin,"Taman Ratu Safiatuddin di Aceh Besar, Aceh. Kawasan rekreasi bertema dengan wahana pemacu adrenalin, kolam renang bergelombang, serta taman bermain anak yang aman. Dilengkapi staf pengawas keselamatan dan berbagai tenant kuliner lezat.",Taman Hiburan,Taman Rekreasi,Aceh Besar,50000,4.2,180.0,"{'lat': 5.34932, 'lng': 95.547349}",5.34932,95.547349,Aceh,hiburan,50000.0,4.2,1,1,1,1,1,1,1.0,edukasi|fotografi|rekreasi_keluarga
41,Taman Bustanussalatin,"Taman Bustanussalatin di Aceh Besar, Aceh. Taman rekreasi modern keluarga yang menghadirkan beragam wahana permainan seru, atraksi air, serta pertunjukan tematik interaktif. Memiliki fasilitas lengkap seperti food court, musala yang nyaman, toilet bersih, dan area parkir luas.",Taman Hiburan,Taman Rekreasi,Aceh Besar,35000,4.6,180.0,"{'lat': 5.387502, 'lng': 95.511083}",5.387502,95.511083,Aceh,hiburan,35000.0,4.6,1,1,1,1,1,1,1.0,edukasi|fotografi|rekreasi_keluarga
42,Waterpark Taman Impian,"Waterpark Taman Impian di Aceh Barat, Aceh. Kawasan rekreasi bertema dengan wahana pemacu adrenalin, kolam renang bergelombang, serta taman bermain anak yang aman. Dilengkapi staf pengawas keselamatan dan berbagai tenant kuliner lezat.",Taman Hiburan,Waterpark,Aceh Barat,50000,4.3,180.0,"{'lat': 4.481914, 'lng': 96.143506}",4.481914,96.143506,Aceh,hiburan,50000.0,4.3,1,1,1,1,1,1,1.0,edukasi|fotografi|rekreasi_keluarga
43,Kolam Mata Ie,"Kolam Mata Ie di Bener Meriah, Aceh. Taman rekreasi modern keluarga yang menghadirkan beragam wahana permainan seru, atraksi air, serta pertunjukan tematik interaktif. Memiliki fasilitas lengkap seperti food court, musala yang nyaman, toilet bersih, dan area parkir luas.",Taman Hiburan,Taman Rekreasi,Bener Meriah,150000,4.4,150.0,"{'lat': 4.764031, 'lng': 96.85921}",4.764031,96.85921,Aceh,hiburan,150000.0,4.4,1,1,1,1,1,1,1.0,edukasi|fotografi|rekreasi_keluarga
44,Pasar Atjeh Banda Aceh,"Pasar Atjeh Banda Aceh di Aceh Besar, Aceh. Pusat perbelanjaan dan pasar tradisional khas daerah yang menjual aneka kerajinan tangan, kain tenun atau batik, serta camilan oleh-oleh lokal. Tempat bertemunya tawar-menawar yang hangat dengan harga terjangkau.",Pusat Perbelanjaan,Pasar Tradisional,Aceh Besar,0,4.8,60.0,"{'lat': 5.421396, 'lng': 95.541562}",5.421396,95.541562,Aceh,belanja,0.0,4.8,1,1,1,1,1,0,0.8333,belanja|budaya|kuliner
45,Pusat Oleh-Oleh Kopi Ulee Kareng,"Pusat Oleh-Oleh Kopi Ulee Kareng di Aceh Tengah, Aceh. Pusat perbelanjaan dan pasar tradisional khas daerah yang menjual aneka kerajinan tangan, kain tenun atau batik, serta camilan oleh-oleh lokal. Tempat bertemunya tawar-menawar yang hangat dengan harga terjangkau.",Pusat Perbelanjaan,Pasar Tradisional,Aceh Tengah,0,4.5,90.0,"{'lat': 4.662765, 'lng': 96.869479}",4.662765,96.869479,Aceh,belanja,0.0,4.5,1,1,1,1,1,0,0.8333,belanja|budaya|kuliner
46,Sentra Souvenir Peunayong,"Sentra Souvenir Peunayong di Aceh Jaya, Aceh. Sentra kuliner dan suvenir ikonik yang menyediakan aneka buah tangan khas Nusantara berkualitas tinggi. Dilengkapi area parkir kendaraan wisata, gerai anjungan tunai mandiri (ATM), dan mushola.",Pusat Perbelanjaan,Sentra Kerajinan,Aceh Jaya,0,4.5,60.0,"{'lat': 4.813073, 'lng': 95.661987}",4.813073,95.661987,Aceh,belanja,0.0,4.5,1,1,1,0,1,1,0.8333,belanja|budaya|kuliner
47,Pasar Buah Puncak Gayo,"Pasar Buah Puncak Gayo di Aceh Selatan, Aceh. Sentra kuliner dan suvenir ikonik yang menyediakan aneka buah tangan khas Nusantara berkualitas tinggi. Dilengkapi area parkir kendaraan wisata, gerai anjungan tunai mandiri (ATM), dan mushola.",Pusat Perbelanjaan,Pasar Tradisional,Aceh Selatan,0,4.5,90.0,"{'lat': 3.279706, 'lng': 97.227834}",3.279706,97.227834,Aceh,belanja,0.0,4.5,1,1,1,0,1,0,0.6667,belanja|budaya|kuliner
48,Masjid Raya Baiturrahman,"Masjid Raya Baiturrahman di Aceh Barat, Aceh. Tempat ibadah cagar budaya dengan ornamen seni pahat antik dan sejarah pendirian yang menginspirasi. Terbuka bagi pengunjung yang ingin berdoa maupun mengagumi keindahan karya arsitektur Nusantara.",Tempat Ibadah,Masjid,Aceh Barat,0,4.8,90.0,"{'lat': 4.471866, 'lng': 96.154792}",4.471866,96.154792,Aceh,religi,0.0,4.8,1,1,1,1,1,0,0.8333,budaya|religi|sejarah
49,Masjid Rahmatullah Lampuuk,"Masjid Rahmatullah Lampuuk di Aceh Jaya, Aceh. Bangunan keagamaan bersejarah dengan arsitektur megah dan penuh nilai filosofis spiritual tinggi. Menyediakan sarana ibadah yang bersih dan khusyuk, pelataran yang teduh dan asri, serta toilet wudhu yang terawat.",Tempat Ibadah,Masjid,Aceh Jaya,0,4.6,45.0,"{'lat': 4.813463, 'lng': 95.614197}",4.813463,95.614197,Aceh,religi,0.0,4.6,1,1,1,1,1,0,0.8333,budaya|religi|sejarah
50,Masjid Tuha Indrapuri,"Masjid Tuha Indrapuri di Aceh Tengah, Aceh. Tempat ibadah cagar budaya dengan ornamen seni pahat antik dan sejarah pendirian yang menginspirasi. Terbuka bagi pengunjung yang ingin berdoa maupun mengagumi keindahan karya arsitektur Nusantara.",Tempat Ibadah,Masjid,Aceh Tengah,0,4.3,60.0,"{'lat': 4.651214, 'lng': 96.840212}",4.651214,96.840212,Aceh,religi,0.0,4.3,1,1,0,1,1,0,0.6667,budaya|religi|sejarah
51,Pantai Sorake Nias,"Pantai Sorake Nias di Deli Serdang, Sumatera Utara. Pantai eksotis dengan air laut jernih dan deretan pohon kelapa yang rindang. Menjadi lokasi favorit wisatawan untuk bersantai, bermain air bersama keluarga, berswafoto, serta menikmati kelapa muda segar di tepi pantai.",Pantai,Pantai,Deli Serdang,25000,4.5,180.0,"{'lat': 3.478185, 'lng': 98.701594}",3.478185,98.701594,Sumatera Utara,bahari,25000.0,4.5,1,1,1,1,0,1,0.8333,berenang|fotografi|kuliner|pantai|rekreasi_keluarga
